;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
64;Да и кому бы?;5;[{'CCONJ': 'да'}, {'CCONJ': 'и'}, {'PRON': 'кто'}, {'AUX': 'бы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
68;Кто станет тебе писать?;5;[{'PRON': 'кто'}, {'VERB': 'стать'}, {'PRON': 'ты'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
75;Кто мне пишет?;4;[{'PRON': 'кто'}, {'PRON': 'я'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
77;Кому это ты так нужен?;6;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'ADV': 'так'}, {'ADJ': 'нужный'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
87;Кто здесь?;3;[{'PRON': 'кто'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
89;Вы кто?;3;[{'PRON': 'вы'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
91;Кто вы?;3;[{'PRON': 'кто'}, {'PRON': 'вы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
101;И тебе не сказали, кто ты есть?;9;[{'CCONJ': 'и'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
108;С такими предками кем тебе еще быть?;8;[{'ADP': 'с'}, {'DET': 'такой'}, {'NOUN': 'предок'}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'ADV': 'еще'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
181;И часто вы проверяете, нет ли кого внутри?;10;[{'CCONJ': 'и'}, {'ADV': 'часто'}, {'PRON': 'вы'}, {'VERB': 'проверять'}, {'PUNCT': ','}, {'VERB': 'нет'}, {'PART': 'ли'}, {'PRON': 'кто'}, {'ADV': 'внутри'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
242;Знаешь, кто этот мальчик, который вместе с нами проходил на платформу?;14;[{'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'DET': 'этот'}, {'NOUN': 'мальчик'}, {'PUNCT': ','}, {'PRON': 'который'}, {'ADV': 'вместе'}, {'ADP': 'с'}, {'PRON': 'мы'}, {'VERB': 'проходить'}, {'ADP': 'на'}, {'NOUN': 'платформа'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
244;Угадай, кто это?;5;[{'PROPN': 'угадать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
280;А кем стали после школы твои старшие братья?;9;[{'CCONJ': 'а'}, {'PRON': 'кто'}, {'VERB': 'стать'}, {'ADP': 'после'}, {'NOUN': 'школа'}, {'DET': 'твой'}, {'ADJ': 'старший'}, {'NOUN': 'брат'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
332;Кто это разговаривает с профессором Страунсом?;7;[{'PRON': 'кто'}, {'PRON': 'это'}, {'VERB': 'разговаривать'}, {'ADP': 'с'}, {'NOUN': 'профессор'}, {'PROPN': 'страунс'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
392;Я буду секундантом, а у тебя кто?;9;[{'PRON': 'я'}, {'AUX': 'быть'}, {'VERB': 'секундантом'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
444;Гермиона, кто никогда не нарушает правила, делает вид, будто их нарушила, – и все ради их спасения?;22;[{'PROPN': 'гермиона'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADV': 'никогда'}, {'PART': 'не'}, {'VERB': 'нарушать'}, {'NOUN': 'правило'}, {'PUNCT': ','}, {'VERB': 'делать'}, {'NOUN': 'вид'}, {'PUNCT': ','}, {'SCONJ': 'будто'}, {'PRON': 'они'}, {'VERB': 'нарушить'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'и'}, {'PRON': 'весь'}, {'ADP': 'ради'}, {'DET': 'их'}, {'NOUN': 'спасение'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
489;От Огрида, от дяди с тетей – аэтоот кого?;11;[{'ADP': 'от'}, {'PROPN': 'огрид'}, {'PUNCT': ','}, {'ADP': 'от'}, {'NOUN': 'дядя'}, {'ADP': 'с'}, {'NOUN': 'тетя'}, {'PUNCT': '–'}, {'NOUN': 'аэтоот'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
492;Кто прислал плащ?;4;[{'PRON': 'кто'}, {'VERB': 'прислать'}, {'NOUN': 'плащ'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
497;Кто тут?;3;[{'PRON': 'кто'}, {'ADV': 'тут'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
509;Кому до него есть дело?;6;[{'PRON': 'кто'}, {'ADP': 'до'}, {'PRON': 'он'}, {'VERB': 'быть'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
581;Кто там?;3;[{'PRON': 'кто'}, {'ADV': 'там'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
584;Кому, кроме тебя, доверяет Думбльдор?;8;[{'PRON': 'кто'}, {'PUNCT': ','}, {'ADP': 'кроме'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'VERB': 'доверять'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
624;И кому, по-вашему, поверят, ему или нам?;11;[{'CCONJ': 'и'}, {'PRON': 'кто'}, {'PUNCT': ','}, {'VERB': 'по-вашему'}, {'PUNCT': ','}, {'VERB': 'поверить'}, {'PUNCT': ','}, {'PRON': 'он'}, {'CCONJ': 'или'}, {'PRON': 'мы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
635;А если тот, кто его покалечил, найдет нас первым?;12;[{'CCONJ': 'а'}, {'SCONJ': 'если'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'он'}, {'VERB': 'покалечить'}, {'PUNCT': ','}, {'VERB': 'найти'}, {'PRON': 'мы'}, {'ADJ': 'первый'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
639;Кто идет?;3;[{'PRON': 'кто'}, {'VERB': 'идти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
640;И на поляне появился… кто, человек или конь?;11;[{'CCONJ': 'и'}, {'ADP': 'на'}, {'NOUN': 'поляна'}, {'VERB': 'появиться'}, {'PUNCT': '…'}, {'PRON': 'кто'}, {'PUNCT': ','}, {'NOUN': 'человек'}, {'CCONJ': 'или'}, {'NOUN': 'конь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
665;А ты не видишь, кто это такой?;9;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'видеть'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'DET': 'такой'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
673;И вообще, от кого вы меня спасли?;9;[{'CCONJ': 'и'}, {'ADV': 'вообще'}, {'PUNCT': ','}, {'ADP': 'от'}, {'PRON': 'кто'}, {'PRON': 'вы'}, {'PRON': 'я'}, {'VERB': 'спасти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
675;Но кто на это пойдет?;6;[{'CCONJ': 'но'}, {'PRON': 'кто'}, {'ADP': 'на'}, {'PRON': 'это'}, {'VERB': 'пойти'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
728;Кто тут?;3;[{'PRON': 'кто'}, {'ADV': 'тут'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
741;ВЕДЬМА ТЫ ИЛИ КТО?;5;[{'NOUN': 'ведьма'}, {'NOUN': 'ты'}, {'CCONJ': 'или'}, {'VERB': 'кто'}, {'PUNCT': '?'}];кто;[{'VERB': 'кто'}]
768;Кто рядом с ним заподозрит н-несчастного, б-бедного з-заику п-п-профессора С-Страунса?;12;[{'PRON': 'кто'}, {'ADV': 'рядом'}, {'ADP': 'с'}, {'PRON': 'он'}, {'VERB': 'заподозрить'}, {'NOUN': 'н-несчастный'}, {'PUNCT': ','}, {'VERB': 'б-бедный'}, {'ADJ': 'з-заика'}, {'X': 'п-п-профессора'}, {'X': 'с-страунса'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
791;А у кого же он?;6;[{'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'кто'}, {'PART': 'же'}, {'PRON': 'он'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
807;Вы не знаете, кто мне его прислал?;9;[{'PRON': 'вы'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'я'}, {'PRON': 'он'}, {'VERB': 'прислать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
873;Вы же знаете, кто такой Думбльдор?;8;[{'PRON': 'вы'}, {'PART': 'же'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'DET': 'такой'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
900;Кто это – Эррол?;5;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '–'}, {'PROPN': 'эррол'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
946;А знаете, кого я видел в «Боргине и Д’Авиле»?;15;[{'CCONJ': 'а'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'я'}, {'VERB': 'видеть'}, {'ADP': 'в'}, {'PUNCT': '«'}, {'NOUN': 'боргин'}, {'CCONJ': 'и'}, {'PROPN': 'д'}, {'PUNCT': '’'}, {'PROPN': 'авила'}, {'PUNCT': '»'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1025;Кто это тут раздает автографы?;6;[{'PRON': 'кто'}, {'PRON': 'это'}, {'ADV': 'тут'}, {'VERB': 'раздавать'}, {'NOUN': 'автограф'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1054;Это еще кто?;4;[{'PRON': 'это'}, {'ADV': 'еще'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1073;И правда – разве ж кто поболе года продержался?;10;[{'CCONJ': 'и'}, {'ADV': 'правда'}, {'PUNCT': '–'}, {'PART': 'разве'}, {'PART': 'ж'}, {'PRON': 'кто'}, {'NOUN': 'побол'}, {'NOUN': 'год'}, {'VERB': 'продержаться'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1074;Лучше расскажите, кого это он хотел проклясть?;9;[{'ADV': 'хороший'}, {'VERB': 'рассказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'PRON': 'он'}, {'VERB': 'хотеть'}, {'VERB': 'проклясть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1106;Кому нужно праздновать день собственной смерти?;7;[{'PRON': 'кто'}, {'ADJ': 'нужный'}, {'VERB': 'праздновать'}, {'NOUN': 'день'}, {'ADJ': 'собственный'}, {'NOUN': 'смерть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1109;С кем?;3;[{'ADP': 'с'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1165;Кто же это мог быть?;6;[{'PRON': 'кто'}, {'PART': 'же'}, {'PRON': 'это'}, {'VERB': 'мочь'}, {'AUX': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1166;Кому нужно запугать всех швахов и муглорожденных, чтоб они покинули«Хогварц»?;15;[{'PRON': 'кто'}, {'ADJ': 'нужный'}, {'VERB': 'запугать'}, {'DET': 'весь'}, {'NOUN': 'швах'}, {'CCONJ': 'и'}, {'NOUN': 'муглорожденный'}, {'PUNCT': ','}, {'SCONJ': 'чтоб'}, {'PRON': 'они'}, {'VERB': 'покинуть'}, {'PUNCT': '«'}, {'PROPN': 'хогварц'}, {'PUNCT': '»'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1221;Но кто, Добби?;5;[{'CCONJ': 'но'}, {'PRON': 'кто'}, {'PUNCT': ','}, {'PROPN': 'добби'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1222;Кто открыл Комнату?;4;[{'PRON': 'кто'}, {'VERB': 'открыть'}, {'NOUN': 'комната'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1223;Кто открывал ее в прошлый раз?;7;[{'PRON': 'кто'}, {'VERB': 'открывать'}, {'PRON': 'она'}, {'ADP': 'в'}, {'ADJ': 'прошлый'}, {'NOUN': 'раз'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1239;Интересно, кто нас будет учить?;7;[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'мы'}, {'AUX': 'быть'}, {'VERB': 'учить'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1254;Кто я?;3;[{'PRON': 'кто'}, {'PRON': 'я'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1299;У кого патлы навыдираешь?;5;[{'ADP': 'у'}, {'PRON': 'кто'}, {'VERB': 'патлы'}, {'NOUN': 'навыдирать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1327;А ты случайно не знаешь, поймали того, кто открыл Комнату в прошлый раз?;16;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'случайно'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'VERB': 'поймать'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'VERB': 'открыть'}, {'PROPN': 'комната'}, {'ADP': 'в'}, {'ADJ': 'прошлый'}, {'NOUN': 'раз'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1343;Кто здесь?;3;[{'PRON': 'кто'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1349;А кто кинул в тебя блокнот?;7;[{'CCONJ': 'а'}, {'PRON': 'кто'}, {'VERB': 'кинуть'}, {'ADP': 'в'}, {'PRON': 'ты'}, {'NOUN': 'блокнот'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1368;Кто это был в прошлый раз?;7;[{'PRON': 'кто'}, {'PRON': 'это'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'ADJ': 'прошлый'}, {'NOUN': 'раз'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1387;Ну кто его заставлял доносить на Огрида?;8;[{'PART': 'ну'}, {'PRON': 'кто'}, {'PRON': 'он'}, {'VERB': 'заставлять'}, {'VERB': 'доносить'}, {'ADP': 'на'}, {'PROPN': 'огрида'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1391;Кто это тут все раскидал, а, Гарри?;10;[{'PRON': 'кто'}, {'PRON': 'это'}, {'ADV': 'тут'}, {'PRON': 'весь'}, {'VERB': 'раскидать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1416;Послушайте, Малфой, еслиДумбльдоруне удалось, – над верхней губой у Фуджа выступил пот, – то, я хочу сказать, кому тогдаудастся?;26;[{'PROPN': 'послушайте'}, {'PUNCT': ','}, {'PROPN': 'малфа'}, {'PUNCT': ','}, {'PART': 'еслидумбльдоруне'}, {'VERB': 'удаться'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADP': 'над'}, {'ADJ': 'верхний'}, {'NOUN': 'губа'}, {'ADP': 'у'}, {'PROPN': 'фуджа'}, {'VERB': 'выступить'}, {'NOUN': 'пот'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'то'}, {'PUNCT': ','}, {'PRON': 'я'}, {'VERB': 'хотеть'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'VERB': 'тогдаудаться'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1428;Это кто сказал?;4;[{'PRON': 'это'}, {'PRON': 'кто'}, {'VERB': 'сказать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1483;Кого он забрал?;4;[{'PRON': 'кто'}, {'PRON': 'он'}, {'VERB': 'забрать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1532;Я, кто с материнской стороны унаследовал кровь самого Салазара Слизерина?;12;[{'PRON': 'я'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADP': 'с'}, {'ADJ': 'материнский'}, {'NOUN': 'сторона'}, {'VERB': 'унаследовать'}, {'NOUN': 'кровь'}, {'ADJ': 'сам'}, {'PROPN': 'салазар'}, {'PROPN': 'слизерин'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1583;Кто же это?;4;[{'PRON': 'кто'}, {'PART': 'же'}, {'PRON': 'это'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1606;КТО ГОВОРИТ?;3;[{'VERB': 'кто'}, {'VERB': 'говорить'}, {'PUNCT': '?'}];кто;[{'VERB': 'кто'}]
1607;ВЫ КТО?;3;[{'PROPN': 'вы'}, {'PROPN': 'кто'}, {'PUNCT': '?'}];кто;[{'PROPN': 'кто'}]
1633;А кто присматривает за остальными собаками, Мардж?;9;[{'CCONJ': 'а'}, {'PRON': 'кто'}, {'VERB': 'присматривать'}, {'ADP': 'за'}, {'ADJ': 'остальной'}, {'NOUN': 'собака'}, {'PUNCT': ','}, {'PROPN': 'мардж'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1664;И давайте посмотрим правде в глаза: даже если обмолвится, кто ему поверит?;15;[{'CCONJ': 'и'}, {'VERB': 'давать'}, {'VERB': 'посмотреть'}, {'NOUN': 'правда'}, {'ADP': 'в'}, {'NOUN': 'глаз'}, {'PUNCT': ':'}, {'PART': 'даже'}, {'SCONJ': 'если'}, {'VERB': 'обмолвиться'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'он'}, {'VERB': 'поверить'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1693;Угадай, кто в самделе Невилл?;7;[{'PROPN': 'угадать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADP': 'в'}, {'NOUN': 'самдел'}, {'PROPN': 'невилл'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1712;Те, кто ел по соседству, показывали друг другу покупки («Это луноскоп, приятель, – не надо возиться с картами Луны, понимаешь?;28;[{'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'VERB': 'есть'}, {'ADP': 'по'}, {'NOUN': 'соседство'}, {'PUNCT': ','}, {'VERB': 'показывать'}, {'PRON': 'друг'}, {'PRON': 'друг'}, {'NOUN': 'покупка'}, {'PUNCT': '('}, {'PUNCT': '«'}, {'PRON': 'это'}, {'NOUN': 'луноскоп'}, {'PUNCT': ','}, {'NOUN': 'приятель'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PART': 'не'}, {'ADV': 'надо'}, {'VERB': 'возиться'}, {'ADP': 'с'}, {'NOUN': 'карта'}, {'PROPN': 'луна'}, {'PUNCT': ','}, {'VERB': 'понимать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1760;Да и кто их любит?;6;[{'CCONJ': 'да'}, {'CCONJ': 'и'}, {'PRON': 'кто'}, {'PRON': 'они'}, {'VERB': 'любить'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1763;За кого они его держат?;6;[{'ADP': 'за'}, {'PRON': 'кто'}, {'PRON': 'они'}, {'PRON': 'он'}, {'VERB': 'держать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1777;Это еще кто?;4;[{'PRON': 'это'}, {'ADV': 'еще'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1800;Кто это?;3;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1809;Кто это?;3;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1819;И кто кричал?;4;[{'CCONJ': 'и'}, {'PRON': 'кто'}, {'VERB': 'кричать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1843;Кто еще включит в список кусачую книгу?;8;[{'PRON': 'кто'}, {'ADV': 'еще'}, {'VERB': 'включить'}, {'ADP': 'в'}, {'NOUN': 'список'}, {'ADJ': 'кусачий'}, {'NOUN': 'книга'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1869;Признавайтесь, кому из вас предстоит умереть в этом году?;11;[{'PROPN': 'признавайтесь'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADP': 'из'}, {'PRON': 'вы'}, {'VERB': 'предстоять'}, {'VERB': 'умереть'}, {'ADP': 'в'}, {'DET': 'этот'}, {'NOUN': 'год'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1882;Ну, кто первый?;5;[{'PART': 'ну'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADJ': 'первый'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1885;Ну лады, кто еще хочет прокатиться?;8;[{'PART': 'ну'}, {'NOUN': 'лада'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'ADV': 'еще'}, {'VERB': 'хотеть'}, {'VERB': 'прокатиться'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1902;А у меня такая серьезная травма, – он испустил тяжкий, горестный вздох, – кто знает, заработает ли вообще рука?;24;[{'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'я'}, {'DET': 'такой'}, {'ADJ': 'серьезный'}, {'NOUN': 'травма'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'он'}, {'ADJ': 'испустить'}, {'NOUN': 'тяжкий'}, {'PUNCT': ','}, {'VERB': 'горестный'}, {'NOUN': 'вздох'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'кто'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'VERB': 'заработать'}, {'PART': 'ли'}, {'ADV': 'вообще'}, {'NOUN': 'рука'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1931;Кем ему быть – трупом без головы или плотоядным слизнем?;11;[{'PRON': 'кто'}, {'PRON': 'он'}, {'AUX': 'быть'}, {'PUNCT': '–'}, {'NOUN': 'труп'}, {'ADP': 'без'}, {'NOUN': 'голова'}, {'CCONJ': 'или'}, {'ADJ': 'плотоядный'}, {'NOUN': 'слизень'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1949;А у тебя он кем бы стал?;8;[{'CCONJ': 'а'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'PRON': 'он'}, {'PRON': 'кто'}, {'AUX': 'бы'}, {'VERB': 'стать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
1951;Кому, скажите на милость, придет в голову за нимиухаживать?;12;[{'PRON': 'кто'}, {'PUNCT': ','}, {'VERB': 'сказать'}, {'ADP': 'на'}, {'NOUN': 'милость'}, {'PUNCT': ','}, {'VERB': 'прийти'}, {'ADP': 'в'}, {'NOUN': 'голова'}, {'ADP': 'за'}, {'NOUN': 'нимиухаживать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2005;Она сказала, кто это сделал?;7;[{'PRON': 'она'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'это'}, {'VERB': 'сделать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2031;Кто может ответить?;4;[{'PRON': 'кто'}, {'VERB': 'мочь'}, {'VERB': 'ответить'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2112;А ты помнишь, кто был его лучшим другом?;10;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'VERB': 'помнить'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'AUX': 'быть'}, {'PRON': 'он'}, {'ADJ': 'хороший'}, {'NOUN': 'друг'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2163;Кто тебе это прислал?;5;[{'PRON': 'кто'}, {'PRON': 'ты'}, {'PRON': 'это'}, {'VERB': 'прислать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2165;Мама дорогая, да кто ж потратил на тебя столько денег?;12;[{'NOUN': 'мама'}, {'ADJ': 'дорогой'}, {'PUNCT': ','}, {'CCONJ': 'да'}, {'PRON': 'кто'}, {'PART': 'ж'}, {'VERB': 'потратить'}, {'ADP': 'на'}, {'PRON': 'ты'}, {'NUM': 'столько'}, {'NOUN': 'деньга'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
2166;–Кто?. .;4;[{'PUNCT': '–'}, {'PRON': 'кто'}, {'PUNCT': '?.'}, {'PUNCT': '.'}];кто;[{'PRON': 'кто'}]
